BREAK,SYNC,PID,D1,D2,D3,Chksum
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,17,4,252,91
0,85,17,0,0,0,238
0,85,8,14,4,96,133
0,85,9,17,4,96,65
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
